Site,Slope_1_100s
SAMTEX.san014.2008,0.634624529900797
SAMTEX.sso107.2005,-0.24368508724728766
SAMTEX.kim439.2004,-0.6098256551825033
SAMTEX.zim119.2005,0.7187842778331797
SAMTEX.dmb031.2006,0.0997796519277824
SAMTEX.wita39.2005,0.49187157325030817
PRIDE.ZAM34B_RH_ZAM40B.2011-2012,0.4519023356275083
SAMTEX.bot218.2005,-0.3586347342190325
SAMTEX.k2g005.2006,-0.2918790410233151
SAMTEX.sso115.2005,-0.11108890904923335
SAMTEX.NEN021.2006,0.4649611815452106
SAMTEX.san006.2008,0.6510778727132388
SAMTEX.kim016.2003-2006,0.3379859844447281
SAMTEX.KXT002A_auto.tru.2008,0.3414175314649098
SAMTEX.kal008.2008,0.3702376921354282
SAMTEX.san001.2008,0.3743673013707026
SAMTEX.KXT008A_auto.tru.2008,-0.024861543537575775
SAMTEX.k2g010.2006,0.4321317333302114
PRIDE.ZAM013A_RH_ZAM01.2011-2012,0.32243115142687906
PRIDE.ZAM16B_RH_ZAM15B.2011-2012,0.4278232330691404
SAMTEX.kim009_H.2003-2006,0.6228181800927902
SAMTEX.mof108.2005,0.6787968958492129
SAMTEX.kof005.2004,0.09354062573058672
SAMTEX.rtz409.2005,0.5009135032850819
SAMTEX.wita48.2005,0.9879232811188893
SAMTEX.RAK011A.2008,0.10252380761401285
SAMTEX.zim128.2005,-0.38031628005716994
SAMTEX.KXT005A_auto.tru.2008,0.17396798169796376
SAMTEX.bot229.2005,0.255641369237732
SAMTEX.kap009.2003,
SAMTEX.dmb022.2006,-0.40796686566055973
SAMTEX.kal009.2008,0.5230179827160177
SAMTEX.sso113.2005,0.2293573520260647
SAMTEX.NEN020.2006,0.41048651911616857
SAMTEX.san007.2008,0.651763937241485
SAMTEX.k2g011.2006,0.4843203028516413
SAMTEX.san012.2008,0.6423785408688163
SAMTEX.dmb030.2006,0.031636230831596286
SAMTEX.sso106.2005,-0.2864907946542361
SAMTEX.k2g004.2006,-0.08717060546481092
SAMTEX.wita38.2005,0.3538516862170499
SAMTEX.win018.2006,-0.15486109721471125
SAMTEX.k2g003.2006,-0.15052554636853233
SAMTEX.dmb001.2006,0.3685915207536337
SAMTEX.NEN003.2006,-0.28936041066587226
SAMTEX.CPV008.2006,0.502983255768175
SAMTEX.kap008.2003,0.2466486321108731
SAMTEX.bot228.2005,0.1511949477478314
SAMTEX.kim012.2003-2006,0.4587192575611117
SAMTEX.oka008.2006,0.0649763627232333
PRIDE.ZAM21B_RH_ZAM20B.2011-2012,0.3891197853234854
SAMTEX.rtzfb1.2005,0.3226503412277751
SAMTEX.dmb014.2006,-0.5184820728304195
SAMTEX.mof109.2005,0.529820013053299
SAMTEX.kof009.2004,0.17683441306439696
SAMTEX.ETO013A.2008,-0.2685205091176858
SAMTEX.mof104.2005,0.7991893771497439
SAMTEX.oka002.2006,0.11138471865917449
SAMTEX.kim020.2003-2006,0.40765798238173284
SAMTEX.dmb019.2006,-0.382392855295088
SAMTEX.kim411.2004,0.4623258832871907
SAMTEX.bot230.2005,0.38245440742860476
SAMTEX.kap042.2003,
SAMTEX.kap017.2003,0.01816931164814149
SAMTEX.kap010.2003,0.30276305874275355
SAMTEX.GIB018a.true.2008,-0.5674820017106219
SAMTEX.CPV002.2006,0.7197598613041127
SAMTEX.mof111.2005,0.4133951359728156
SAMTEX.CPV005.2006,0.726262398242294
SAMTEX.kal020.2008,0.32210823199279304
SAMTEX.mol101.2005,-0.3642781843785582
SAMTEX.rtz417.2005,0.5749676187525034
SAMTEX.kap005.2003,-0.037976398466957745
SAMTEX.bot222.2005,-0.023211312245445006
SAMTEX.win024.2006,-0.4487597927193002
SAMTEX.dmb101A.2006,0.5384572430897238
SAMTEX.wita34.2004,0.8176309846901104
SAMTEX.GIB004A.2008,0.4679021453815934
SAMTEX.rtz410.2005,
SAMTEX.kal016.2008,0.5173495389437553
SAMTEX.kim435.2004,-0.44970904765045056
SAMTEX.mof120.2005,0.05724312146364204
SAMTEX.KXT007A_auto.tru.2008,-0.13526036507366332
SAMTEX.kal011.2008,0.5870654999330713
SAMTEX.kim432.2004,-0.05295027285877664
SAMTEX.mof127.2005,-0.25088375571273885
SAMTEX.k2g009.2006,0.28940627577239786
SAMTEX.bot415.2005,-0.040414591690642786
SAMTEX.kap061.2003,-0.4088930352455839
SAMTEX.kap034.2003,0.14700815514561683
SAMTEX.bot412.2005,0.08631430468012766
SAMTEX.kim314.2003-2006,0.4265538648283274
SAMTEX.kap033.2003,
SAMTEX.rtzf01.2005,0.5565206849420505
SAMTEX.kim011.2003-2006,
SAMTEX.kim427.2004,0.41475398971049254
SAMTEX.kim420.2004,0.6207417523928416
SAMTEX.bot407.2005,-0.4044773375560596
SAMTEX.kap074.2003,-0.5392502633710797
SAMTEX.RAK025A.2008,0.5835539406569419
SAMTEX.mof117.2005,0.1511041780124188
SAMTEX.kal021.2008,0.40300245272387897
PRIDE.ZAM001A_RH_ZAM00.2011-2012,0.24638245779301834
SAMTEX.zim122.2005,0.23588386327696603
SAMTEX.mof110.2005,0.5132802505962274
SAMTEX.CPV003.2006,0.6798383287422546
SAMTEX.zim125.2005,-0.4770801897870526
SAMTEX.mol107.2005,0.2494580844247131
SAMTEX.kap003.2003,
SAMTEX.rtz411.2005,0.5631999274968703
PRIDE.ZAM33B_RH_ZAM32B.2011-2012,0.47011775943076867
SAMTEX.RAK022A.2008,0.602001551919928
SAMTEX.rtz416.2005,0.5428034740878568
SAMTEX.KXT004A_auto.tru.2008,0.25329124099845546
SAMTEX.zim130.2005,-0.3112511129545911
SAMTEX.mof105.2005,0.8193007262404947
SAMTEX.oka003.2006,0.20081093437166672
SAMTEX.kof008.2004,0.22483914793623963
SAMTEX.kim015.2003-2006,0.32248146780055925
SAMTEX.mof102.2005,0.5484782826232979
SAMTEX.oka004.2006,0.20029009741208537
SAMTEX.rtz205.2005,-0.30400827848068146
SAMTEX.win037.2006,-0.3646494290284245
SAMTEX.wita42.2005,0.9164817489211033
SAMTEX.rtz403.2005,0.46014844144043876
SAMTEX.rtz202.2005,-0.3750863005118309
