     1.00000 +5.1478E+02 +3.0887E+01 +4.5433E+01 +1.7189E+00
     1.96842 +5.3870E+02 +3.2322E+01 +4.4812E+01 +1.7189E+00
     3.87468 +6.4902E+02 +3.8941E+01 +5.2291E+01 +1.7189E+00
     7.62699 +5.4178E+02 +3.2507E+01 +6.2449E+01 +1.7189E+00
    15.01311 +2.9565E+02 +1.7739E+01 +7.4168E+01 +1.7189E+00
    29.55209 +1.8073E+02 +1.0844E+01 +7.5947E+01 +1.7189E+00
    58.17091 +1.1388E+02 +6.8327E+00 +7.6700E+01 +1.7189E+00
   114.50476 +6.5233E+01 +3.9140E+00 +7.5995E+01 +1.7189E+00
   225.39339 +4.0682E+01 +2.4409E+00 +7.5297E+01 +1.7189E+00
   443.66873 +2.4962E+01 +1.4977E+00 +7.2334E+01 +1.7189E+00
   873.32616 +1.7912E+01 +1.0747E+00 +6.9076E+01 +1.7189E+00
  1719.07220 +1.1972E+01 +7.1834E-01 +6.1949E+01 +1.7189E+00
  3383.85515 +9.5650E+00 +5.7390E-01 +5.4216E+01 +1.7189E+00
  6660.84629 +1.0947E+01 +6.5680E-01 +4.0958E+01 +1.7189E+00
 13111.33937 +1.2831E+01 +7.6984E-01 +3.6905E+01 +1.7189E+00
 25808.61540 +1.4212E+01 +8.5269E-01 +3.6350E+01 +1.7189E+00
 50802.18047 +1.7291E+01 +1.0375E+00 +4.0420E+01 +1.7189E+00
100000.00000 +1.7141E+01 +1.0285E+00 +4.3098E+01 +1.7189E+00
